customer_id,signup_date,marketing_spend,visits,purchase_amount,segment,notes
36616168_c0001,2024-12-20,81.28,3,120.13,Consumer,no response
36616168_c0002,2025-01-07,101.19,3,157.34,Consumer,
36616168_c0003,18/05/2025,179.6,6,124.82,SMB,
36616168_c0004,"May 31, 2025",236.63,10,270.99,Enterprise,
36616168_c0005,2024-09-30,71.89,2,131.77,SMB,
36616168_c0006,2025-08-06,246.41,2,275.81,Consumer,
36616168_c0007,13/01/2026,299.76,12,378.58,Consumer,returned
36616168_c0008,"Jan 01, 2026",260.93,10,,Consumer,returned
36616168_c0009,2026-01-29,20.76,5,0,SMB,
36616168_c0010,2024-11-15,176.09,5,205.83,Consumer,
36616168_c0011,2025-08-22,200,5,169.3,Consumer,
36616168_c0012,"Oct 16, 2025",259.14,10,331.61,Consumer,
36616168_c0013,2026-02-01,26.79,3,,Consumer,
36616168_c0014,N/A,95.19,3,63.22,SMB,N/A
36616168_c0015,2024-09-26,50.26,5,130.02,Consumer,N/A
36616168_c0016,2025-09-11,204.34,8,217.33,Consumer,
36616168_c0017,2025-02-23,118.37,6,100.57,SMB,
36616168_c0018,2024-09-25,295.64,5,,Consumer,
36616168_c0019,"Dec 29, 2025",205.58,4,164.88,SMB,contacted
36616168_c0020,2025-02-21,112.04,7,181.15,Consumer,
36616168_c0021,22/04/2025,221.16,11,,SMB,
36616168_c0022,2025-02-10,48.59,2,,SMB,N/A
36616168_c0023,"Nov 11, 2025",176.9,6,66.64,Consumer,returned
36616168_c0024,10/06/2025,34.87,2,,Enterprise,contacted
36616168_c0025,2024-10-28,8.49,3,37.01,Consumer,returned
36616168_c0026,07/05/2025,166.68,8,174.78,SMB,
36616168_c0027,2025-12-19,265.92,7,200.4,Consumer,
36616168_c0028,2024-12-19,193.39,6,208.82,SMB,
36616168_c0029,18/08/2025,268.58,8,,Enterprise,returned
36616168_c0030,"May 11, 2025",165.34,5,106.51,Consumer,
36616168_c0031,2025-11-20,159.18,3,186.78,Consumer,
36616168_c0032,N/A,187.11,6,98.25,SMB,contacted
36616168_c0033,2024-11-20,33.28,2,62.86,Consumer,
36616168_c0034,2024-10-15,283.44,4,302.11,Consumer,returned
36616168_c0035,2025-02-13,260.98,7,279.66,Consumer,
36616168_c0036,2025-06-19,31.13,3,17.79,Consumer,
36616168_c0037,2025-08-21,53.22,7,24.35,SMB,returned
36616168_c0038,2025-10-17,22.88,7,,SMB,contacted
36616168_c0039,2025-06-09,33.85,2,34.24,Consumer,
36616168_c0040,2025-12-12,47.32,2,99.47,SMB,returned
36616168_c0041,13/11/2025,8.64,1,0,SMB,N/A
36616168_c0042,05/04/2025,187.9,7,205.5,Consumer,N/A
36616168_c0043,03/06/2025,267.38,9,197.44,Enterprise,
36616168_c0044,2025-12-17,5.35,0,98.4,Consumer,
36616168_c0045,2025-11-25,20.14,3,80.44,Consumer,contacted
36616168_c0046,2025-05-27,136.39,10,221.43,SMB,
36616168_c0047,2025-12-12,274.12,10,210.35,SMB,contacted
36616168_c0048,2024-12-05,73.49,4,65.57,Consumer,
36616168_c0049,2025-05-20,196.26,1,121.93,SMB,
36616168_c0050,2025-04-01,62,3,154.95,Consumer,contacted
36616168_c0051,2025-07-10,282.4,10,300.23,Consumer,
36616168_c0052,2025-05-29,134.26,7,46.55,SMB,
36616168_c0053,,201.15,5,249.44,Consumer,
36616168_c0054,2025-07-14,236.95,6,188.97,Consumer,
36616168_c0055,N/A,143.73,4,172.46,Consumer,
36616168_c0056,,168.02,7,154.94,SMB,
36616168_c0057,2025-07-07,88.87,7,146.6,Enterprise,N/A
36616168_c0058,2025-03-16,22.42,5,43.19,Consumer,
36616168_c0059,2025-08-06,204.67,7,212.72,Consumer,
36616168_c0060,15/01/2025,132.79,3,,Consumer,contacted
36616168_c0061,13/10/2024,80.96,2,119.11,SMB,contacted
36616168_c0062,2025-12-21,67.28,5,,Consumer,
36616168_c0063,2025-03-26,168.12,9,157.69,SMB,
36616168_c0064,2025-10-02,264.77,3,233.06,Enterprise,N/A
36616168_c0065,2024-10-14,28.61,1,57.23,SMB,
36616168_c0066,2025-03-13,92.29,2,22.06,Enterprise,
36616168_c0067,2025-09-21,35.27,3,45.54,Consumer,N/A
36616168_c0068,2025-07-19,156.15,1,188.5,Consumer,
36616168_c0069,"Jan 06, 2026",58.4,1,167.83,SMB,N/A
36616168_c0070,2025-10-04,129.75,4,138.33,SMB,
36616168_c0071,19/10/2025,100.53,5,137.84,Consumer,contacted
36616168_c0072,2024-10-27,34.07,4,93.64,SMB,contacted
36616168_c0073,2025-12-26,81.89,5,119.95,Consumer,returned
36616168_c0074,26/10/2024,289.92,2,202.64,SMB,contacted
36616168_c0075,2024-09-12,228.74,7,301.93,Consumer,
36616168_c0076,2026-01-12,289.05,6,234.64,SMB,contacted
36616168_c0077,"Oct 11, 2025",9.57,2,75.26,Enterprise,
36616168_c0078,2025-09-27,266.06,7,221.37,SMB,
36616168_c0079,20/03/2025,208.72,9,262.35,Consumer,
36616168_c0080,2025-09-28,56.55,4,36.47,SMB,no response
36616168_c0081,2025-07-02,86.15,4,68.91,Consumer,
36616168_c0082,2025-05-03,153.86,7,147.32,SMB,contacted
36616168_c0083,25/12/2024,192.65,8,144.47,Consumer,
36616168_c0084,2024-12-16,130.55,3,87.06,SMB,returned
36616168_c0085,2025-06-15,216.6,4,267.47,Consumer,
36616168_c0086,2025-04-04,2.42,6,9.48,Consumer,
36616168_c0087,,153.67,6,94.99,Consumer,no response
36616168_c0088,2026-01-09,145.63,7,56.87,Enterprise,contacted
36616168_c0089,2025-01-14,162.65,8,144.47,Consumer,
36616168_c0090,2024-12-05,172.76,8,108.54,SMB,contacted
36616168_c0091,2025-08-01,37.49,2,0,SMB,
36616168_c0092,2025-05-10,43.24,3,0,SMB,
36616168_c0093,"Jun 01, 2025",278.75,7,195.21,Consumer,
36616168_c0094,2025-12-26,106.75,4,68.89,Consumer,
36616168_c0095,2025-05-02,12.23,4,71.93,SMB,no response
36616168_c0096,2025-02-13,266.11,3,190.86,Consumer,N/A
36616168_c0097,2025-08-07,4.31,3,69.15,Consumer,returned
36616168_c0098,2024-12-14,70.87,3,19.83,Consumer,contacted
36616168_c0099,2025-08-04,35.81,4,66.59,Consumer,
36616168_c0100,2025-12-12,84.38,7,83.84,Consumer,N/A
36616168_c0101,2025-11-28,286.13,7,317.09,Enterprise,contacted
36616168_c0102,2025-10-14,27.8,6,26.07,Consumer,
36616168_c0103,2026-01-01,113.37,8,75.39,Consumer,
36616168_c0104,2024-11-20,80.03,5,199.36,Consumer,returned
36616168_c0105,2024-11-16,206.95,10,182.09,Consumer,
36616168_c0106,"Jun 15, 2025",190.3,11,229.96,Consumer,no response
36616168_c0107,2025-03-17,101.13,6,102.44,SMB,
36616168_c0108,04/07/2025,295.17,7,205.54,Consumer,
36616168_c0109,2025-01-18,203.28,7,222.89,Consumer,contacted
36616168_c0110,2025-06-18,38.29,2,110.19,Consumer,
36616168_c0111,N/A,122.5,7,114.58,Consumer,
36616168_c0112,N/A,83.52,4,162.05,SMB,
36616168_c0113,2025-09-17,263.66,11,,Consumer,contacted
